query_id,request_id,query_words,relevant_docs,bm25_ndcg10,first_ndcg10,prp_ndcg10,first_minus_bm25,first_minus_prp,bucket
PLAIN-2470,nfcorpus-PLAIN-2470,6,73,0.10327064981393905,0.42334012951396666,0.3757952403557263,0.32006947970002764,0.047544889158240344,gain
PLAIN-2480,nfcorpus-PLAIN-2480,5,18,0.24335144930682967,0.330181025145575,0.3430056933391503,0.08682957583874534,-0.012824668193575306,gain
PLAIN-2490,nfcorpus-PLAIN-2490,7,23,0.5386485824602897,0.6133451041091097,0.5255962946851963,0.07469652164882001,0.08774880942391339,gain
PLAIN-2500,nfcorpus-PLAIN-2500,8,7,0.11974534227438745,0.2394906845487749,0.3163197952348731,0.11974534227438745,-0.07682911068609818,gain
PLAIN-2510,nfcorpus-PLAIN-2510,4,46,0.8318477135310891,0.6618313225363274,0.6468562235661908,-0.17001639099476173,0.014975098970136602,loss
PLAIN-2520,nfcorpus-PLAIN-2520,5,73,0.11879175420284406,0.23969106839165588,0.07728716978919913,0.12089931418881182,0.16240389860245674,gain
PLAIN-2530,nfcorpus-PLAIN-2530,6,72,0.9276737537834677,0.9652843890316114,0.820164689135987,0.037610635248143676,0.14511969989562445,gain
PLAIN-2540,nfcorpus-PLAIN-2540,4,21,0.26317921170974523,0.33161025357448953,0.38993584451957525,0.0684310418647443,-0.058325590945085715,gain
PLAIN-2550,nfcorpus-PLAIN-2550,5,25,0.0,0.25483467100741447,0.444977378084739,0.25483467100741447,-0.1901427070773245,gain
PLAIN-2560,nfcorpus-PLAIN-2560,5,21,0.7885497208855956,0.9363792118010481,0.8630152897016882,0.1478294909154525,0.07336392209935994,gain
PLAIN-2570,nfcorpus-PLAIN-2570,5,40,0.1222260944107594,0.2444521888215188,0.0,0.1222260944107594,0.2444521888215188,gain
PLAIN-2580,nfcorpus-PLAIN-2580,8,23,0.37456050428247883,0.4374858569381833,0.1890570933316362,0.06292535265570448,0.24842876360654711,gain
PLAIN-2590,nfcorpus-PLAIN-2590,5,63,0.03285554183355299,0.06843104186474429,0.14342484470735153,0.035575500031191296,-0.07499380284260725,gain
PLAIN-2600,nfcorpus-PLAIN-2600,4,10,0.2059646712852783,0.5998254955960036,0.459082823391373,0.39386082431072533,0.1407426722046306,gain
PLAIN-2610,nfcorpus-PLAIN-2610,6,61,0.2751147078726002,0.2674859484828555,0.18625662605832993,-0.007628759389744666,0.08122932242452557,loss
PLAIN-2620,nfcorpus-PLAIN-2620,6,55,0.28952298823485745,0.31179666892228025,0.06943122193677727,0.022273680687422803,0.242365446985503,gain
PLAIN-2630,nfcorpus-PLAIN-2630,5,48,0.43735247915031,0.682058687059041,0.7273298443105218,0.24470620790873104,-0.04527115725148079,gain
PLAIN-2640,nfcorpus-PLAIN-2640,7,48,0.5992646849283239,0.5210691305045271,0.35203891472523335,-0.07819555442379678,0.16903021577929372,loss
PLAIN-2650,nfcorpus-PLAIN-2650,4,29,0.4658230948382866,0.5077181160122074,0.5326208815196265,0.0418950211739208,-0.0249027655074191,gain
PLAIN-2660,nfcorpus-PLAIN-2660,8,27,0.23440650992329987,0.25880978898961277,0.22400556151517553,0.0244032790663129,0.03480422747443723,gain
PLAIN-2670,nfcorpus-PLAIN-2670,4,35,0.2996484034259831,0.4887054967576193,0.2996484034259831,0.18905709333163623,0.18905709333163623,gain
PLAIN-2680,nfcorpus-PLAIN-2680,7,14,0.36458598999465325,0.36859149977396444,0.4808355143710309,0.004005509779311189,-0.11224401459706645,gain
PLAIN-2690,nfcorpus-PLAIN-2690,5,43,0.13568544539116628,0.1736666713479918,0.09478836436955078,0.037981225956825515,0.07887830697844102,gain
PLAIN-2700,nfcorpus-PLAIN-2700,5,10,0.1890570933316362,0.36417417493582804,0.34295731027236515,0.17511708160419184,0.021216864663462898,gain
PLAIN-2710,nfcorpus-PLAIN-2710,5,21,0.5503473659298083,0.6263380278851488,0.6170850552283429,0.07599066195534054,0.009252972656805913,gain
PLAIN-2720,nfcorpus-PLAIN-2720,6,36,0.1325372998263964,0.18340980524840012,0.2489083270225946,0.05087250542200372,-0.06549852177419449,gain
PLAIN-2730,nfcorpus-PLAIN-2730,6,29,0.2831714503645437,0.6479594895900163,0.5737064611887861,0.36478803922547254,0.07425302840123016,gain
PLAIN-2740,nfcorpus-PLAIN-2740,6,50,0.45705207997306296,0.5924541597928612,0.4437562409950965,0.13540207981979824,0.14869791879776473,gain
PLAIN-2750,nfcorpus-PLAIN-2750,6,59,0.5109241011712747,0.5522978728380074,0.27384875388632407,0.04137377166673262,0.2784491189516833,gain
PLAIN-2760,nfcorpus-PLAIN-2760,5,8,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2770,nfcorpus-PLAIN-2770,7,41,0.3557505847304329,0.2653782954402735,0.3260833025011973,-0.09037228929015939,-0.0607050070609238,loss
PLAIN-2780,nfcorpus-PLAIN-2780,8,22,0.3957428347866484,0.40584317262766684,0.38867747980191625,0.010100337841018436,0.01716569282575059,gain
PLAIN-2790,nfcorpus-PLAIN-2790,6,59,0.6421867266689009,0.7541058915306824,0.652572678498186,0.11191916486178155,0.1015332130324964,gain
PLAIN-2800,nfcorpus-PLAIN-2800,6,24,0.17631581635259896,0.3576083164503281,0.06452577150984495,0.18129250009772913,0.29308254494048314,gain
PLAIN-2810,nfcorpus-PLAIN-2810,8,8,0.05854439592831931,0.0,0.0,-0.05854439592831931,0.0,loss
PLAIN-2820,nfcorpus-PLAIN-2820,4,8,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2830,nfcorpus-PLAIN-2830,4,3,0.4030302838010049,0.4030302838010049,0.4030302838010049,0.0,0.0,tie
PLAIN-2840,nfcorpus-PLAIN-2840,4,17,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2850,nfcorpus-PLAIN-2850,8,9,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2860,nfcorpus-PLAIN-2860,6,2,1.0,1.0,1.0,0.0,0.0,tie
PLAIN-2870,nfcorpus-PLAIN-2870,4,5,0.0,0.10907458963273321,0.15979138559512832,0.10907458963273321,-0.0507167959623951,gain
PLAIN-2880,nfcorpus-PLAIN-2880,6,17,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2890,nfcorpus-PLAIN-2890,6,29,0.1285120859663631,0.11381311447980799,0.12025967902718644,-0.014698971486555107,-0.00644656454737845,loss
PLAIN-2900,nfcorpus-PLAIN-2900,8,12,0.0813675121926939,0.28148534440926104,0.0,0.20011783221656715,0.28148534440926104,gain
